Sexo;Municipios;Nacionalidad (español/extranjero);Edad (grandes grupos);Total
Ambos sexos;Total;Total;Total;331.473
Ambos sexos;Total;Total;Menores de 16 años;41.111
Ambos sexos;Total;Total;De 16 a 64 años;203.082
Ambos sexos;Total;Total;De 65 y más años;87.280
Ambos sexos;Total;españoles;Total;319.137
Ambos sexos;Total;españoles;Menores de 16 años;39.404
Ambos sexos;Total;españoles;De 16 a 64 años;193.030
Ambos sexos;Total;españoles;De 65 y más años;86.703
Ambos sexos;Total;extranjeros;Total;12.336
Ambos sexos;Total;extranjeros;Menores de 16 años;1.707
Ambos sexos;Total;extranjeros;De 16 a 64 años;10.052
Ambos sexos;Total;extranjeros;De 65 y más años;577
Ambos sexos;37001-Abusejo;Total;Total;193
Ambos sexos;37001-Abusejo;Total;Menores de 16 años;6
Ambos sexos;37001-Abusejo;Total;De 16 a 64 años;100
Ambos sexos;37001-Abusejo;Total;De 65 y más años;87
Ambos sexos;37001-Abusejo;españoles;Total;189
Ambos sexos;37001-Abusejo;españoles;Menores de 16 años;6
Ambos sexos;37001-Abusejo;españoles;De 16 a 64 años;96
Ambos sexos;37001-Abusejo;españoles;De 65 y más años;87
Ambos sexos;37001-Abusejo;extranjeros;Total;4
Ambos sexos;37001-Abusejo;extranjeros;Menores de 16 años;0
Ambos sexos;37001-Abusejo;extranjeros;De 16 a 64 años;4
Ambos sexos;37001-Abusejo;extranjeros;De 65 y más años;0
Ambos sexos;37002-Agallas;Total;Total;146
Ambos sexos;37002-Agallas;Total;Menores de 16 años;6
Ambos sexos;37002-Agallas;Total;De 16 a 64 años;69
Ambos sexos;37002-Agallas;Total;De 65 y más años;71
Ambos sexos;37002-Agallas;españoles;Total;146
Ambos sexos;37002-Agallas;españoles;Menores de 16 años;6
Ambos sexos;37002-Agallas;españoles;De 16 a 64 años;69
Ambos sexos;37002-Agallas;españoles;De 65 y más años;71
Ambos sexos;37002-Agallas;extranjeros;Total;0
Ambos sexos;37002-Agallas;extranjeros;Menores de 16 años;0
Ambos sexos;37002-Agallas;extranjeros;De 16 a 64 años;0
Ambos sexos;37002-Agallas;extranjeros;De 65 y más años;0
Ambos sexos;37003-Ahigal de los Aceiteros;Total;Total;120
Ambos sexos;37003-Ahigal de los Aceiteros;Total;Menores de 16 años;6
Ambos sexos;37003-Ahigal de los Aceiteros;Total;De 16 a 64 años;58
Ambos sexos;37003-Ahigal de los Aceiteros;Total;De 65 y más años;56
Ambos sexos;37003-Ahigal de los Aceiteros;españoles;Total;119
Ambos sexos;37003-Ahigal de los Aceiteros;españoles;Menores de 16 años;6
Ambos sexos;37003-Ahigal de los Aceiteros;españoles;De 16 a 64 años;57
Ambos sexos;37003-Ahigal de los Aceiteros;españoles;De 65 y más años;56
Ambos sexos;37003-Ahigal de los Aceiteros;extranjeros;Total;1
Ambos sexos;37003-Ahigal de los Aceiteros;extranjeros;Menores de 16 años;0
Ambos sexos;37003-Ahigal de los Aceiteros;extranjeros;De 16 a 64 años;1
Ambos sexos;37003-Ahigal de los Aceiteros;extranjeros;De 65 y más años;0
Ambos sexos;37004-Ahigal de Villarino;Total;Total;34
Ambos sexos;37004-Ahigal de Villarino;Total;Menores de 16 años;3
Ambos sexos;37004-Ahigal de Villarino;Total;De 16 a 64 años;19
Ambos sexos;37004-Ahigal de Villarino;Total;De 65 y más años;12
Ambos sexos;37004-Ahigal de Villarino;españoles;Total;29
Ambos sexos;37004-Ahigal de Villarino;españoles;Menores de 16 años;2
Ambos sexos;37004-Ahigal de Villarino;españoles;De 16 a 64 años;16
Ambos sexos;37004-Ahigal de Villarino;españoles;De 65 y más años;11
Ambos sexos;37004-Ahigal de Villarino;extranjeros;Total;5
Ambos sexos;37004-Ahigal de Villarino;extranjeros;Menores de 16 años;1
Ambos sexos;37004-Ahigal de Villarino;extranjeros;De 16 a 64 años;3
Ambos sexos;37004-Ahigal de Villarino;extranjeros;De 65 y más años;1
Ambos sexos;37005-Alameda de Gardón, La;Total;Total;76
Ambos sexos;37005-Alameda de Gardón, La;Total;Menores de 16 años;3
Ambos sexos;37005-Alameda de Gardón, La;Total;De 16 a 64 años;28
Ambos sexos;37005-Alameda de Gardón, La;Total;De 65 y más años;45
Ambos sexos;37005-Alameda de Gardón, La;españoles;Total;76
Ambos sexos;37005-Alameda de Gardón, La;españoles;Menores de 16 años;3
Ambos sexos;37005-Alameda de Gardón, La;españoles;De 16 a 64 años;28
Ambos sexos;37005-Alameda de Gardón, La;españoles;De 65 y más años;45
Ambos sexos;37005-Alameda de Gardón, La;extranjeros;Total;0
Ambos sexos;37005-Alameda de Gardón, La;extranjeros;Menores de 16 años;0
Ambos sexos;37005-Alameda de Gardón, La;extranjeros;De 16 a 64 años;0
Ambos sexos;37005-Alameda de Gardón, La;extranjeros;De 65 y más años;0
Ambos sexos;37006-Alamedilla, La;Total;Total;138
Ambos sexos;37006-Alamedilla, La;Total;Menores de 16 años;5
Ambos sexos;37006-Alamedilla, La;Total;De 16 a 64 años;75
Ambos sexos;37006-Alamedilla, La;Total;De 65 y más años;58
Ambos sexos;37006-Alamedilla, La;españoles;Total;123
Ambos sexos;37006-Alamedilla, La;españoles;Menores de 16 años;5
Ambos sexos;37006-Alamedilla, La;españoles;De 16 a 64 años;63
Ambos sexos;37006-Alamedilla, La;españoles;De 65 y más años;55
Ambos sexos;37006-Alamedilla, La;extranjeros;Total;15
Ambos sexos;37006-Alamedilla, La;extranjeros;Menores de 16 años;0
Ambos sexos;37006-Alamedilla, La;extranjeros;De 16 a 64 años;12
Ambos sexos;37006-Alamedilla, La;extranjeros;De 65 y más años;3
Ambos sexos;37007-Alaraz;Total;Total;463
Ambos sexos;37007-Alaraz;Total;Menores de 16 años;41
Ambos sexos;37007-Alaraz;Total;De 16 a 64 años;242
Ambos sexos;37007-Alaraz;Total;De 65 y más años;180
Ambos sexos;37007-Alaraz;españoles;Total;461
Ambos sexos;37007-Alaraz;españoles;Menores de 16 años;41
Ambos sexos;37007-Alaraz;españoles;De 16 a 64 años;240
Ambos sexos;37007-Alaraz;españoles;De 65 y más años;180
Ambos sexos;37007-Alaraz;extranjeros;Total;2
Ambos sexos;37007-Alaraz;extranjeros;Menores de 16 años;0
Ambos sexos;37007-Alaraz;extranjeros;De 16 a 64 años;2
Ambos sexos;37007-Alaraz;extranjeros;De 65 y más años;0
Ambos sexos;37008-Alba de Tormes;Total;Total;5.166
Ambos sexos;37008-Alba de Tormes;Total;Menores de 16 años;750
Ambos sexos;37008-Alba de Tormes;Total;De 16 a 64 años;3.371
Ambos sexos;37008-Alba de Tormes;Total;De 65 y más años;1.045
Ambos sexos;37008-Alba de Tormes;españoles;Total;5.041
Ambos sexos;37008-Alba de Tormes;españoles;Menores de 16 años;729
Ambos sexos;37008-Alba de Tormes;españoles;De 16 a 64 años;3.272
Ambos sexos;37008-Alba de Tormes;españoles;De 65 y más años;1.040
Ambos sexos;37008-Alba de Tormes;extranjeros;Total;125
Ambos sexos;37008-Alba de Tormes;extranjeros;Menores de 16 años;21
Ambos sexos;37008-Alba de Tormes;extranjeros;De 16 a 64 años;99
Ambos sexos;37008-Alba de Tormes;extranjeros;De 65 y más años;5
Ambos sexos;37009-Alba de Yeltes;Total;Total;220
Ambos sexos;37009-Alba de Yeltes;Total;Menores de 16 años;8
Ambos sexos;37009-Alba de Yeltes;Total;De 16 a 64 años;114
Ambos sexos;37009-Alba de Yeltes;Total;De 65 y más años;98
Ambos sexos;37009-Alba de Yeltes;españoles;Total;214
Ambos sexos;37009-Alba de Yeltes;españoles;Menores de 16 años;8
Ambos sexos;37009-Alba de Yeltes;españoles;De 16 a 64 años;109
Ambos sexos;37009-Alba de Yeltes;españoles;De 65 y más años;97
Ambos sexos;37009-Alba de Yeltes;extranjeros;Total;6
Ambos sexos;37009-Alba de Yeltes;extranjeros;Menores de 16 años;0
Ambos sexos;37009-Alba de Yeltes;extranjeros;De 16 a 64 años;5
Ambos sexos;37009-Alba de Yeltes;extranjeros;De 65 y más años;1
Ambos sexos;37010-Alberca, La;Total;Total;1.107
Ambos sexos;37010-Alberca, La;Total;Menores de 16 años;127
Ambos sexos;37010-Alberca, La;Total;De 16 a 64 años;697
Ambos sexos;37010-Alberca, La;Total;De 65 y más años;283
Ambos sexos;37010-Alberca, La;españoles;Total;1.074
Ambos sexos;37010-Alberca, La;españoles;Menores de 16 años;117
Ambos sexos;37010-Alberca, La;españoles;De 16 a 64 años;675
Ambos sexos;37010-Alberca, La;españoles;De 65 y más años;282
Ambos sexos;37010-Alberca, La;extranjeros;Total;33
Ambos sexos;37010-Alberca, La;extranjeros;Menores de 16 años;10
Ambos sexos;37010-Alberca, La;extranjeros;De 16 a 64 años;22
Ambos sexos;37010-Alberca, La;extranjeros;De 65 y más años;1
Ambos sexos;37011-Alberguería de Argañán, La;Total;Total;116
Ambos sexos;37011-Alberguería de Argañán, La;Total;Menores de 16 años;7
Ambos sexos;37011-Alberguería de Argañán, La;Total;De 16 a 64 años;65
Ambos sexos;37011-Alberguería de Argañán, La;Total;De 65 y más años;44
Ambos sexos;37011-Alberguería de Argañán, La;españoles;Total;113
Ambos sexos;37011-Alberguería de Argañán, La;españoles;Menores de 16 años;7
Ambos sexos;37011-Alberguería de Argañán, La;españoles;De 16 a 64 años;62
Ambos sexos;37011-Alberguería de Argañán, La;españoles;De 65 y más años;44
Ambos sexos;37011-Alberguería de Argañán, La;extranjeros;Total;3
Ambos sexos;37011-Alberguería de Argañán, La;extranjeros;Menores de 16 años;0
Ambos sexos;37011-Alberguería de Argañán, La;extranjeros;De 16 a 64 años;3
Ambos sexos;37011-Alberguería de Argañán, La;extranjeros;De 65 y más años;0
Ambos sexos;37012-Alconada;Total;Total;155
Ambos sexos;37012-Alconada;Total;Menores de 16 años;5
Ambos sexos;37012-Alconada;Total;De 16 a 64 años;87
Ambos sexos;37012-Alconada;Total;De 65 y más años;63
Ambos sexos;37012-Alconada;españoles;Total;155
Ambos sexos;37012-Alconada;españoles;Menores de 16 años;5
Ambos sexos;37012-Alconada;españoles;De 16 a 64 años;87
Ambos sexos;37012-Alconada;españoles;De 65 y más años;63
Ambos sexos;37012-Alconada;extranjeros;Total;0
Ambos sexos;37012-Alconada;extranjeros;Menores de 16 años;0
Ambos sexos;37012-Alconada;extranjeros;De 16 a 64 años;0
Ambos sexos;37012-Alconada;extranjeros;De 65 y más años;0
Ambos sexos;37015-Aldea del Obispo;Total;Total;266
Ambos sexos;37015-Aldea del Obispo;Total;Menores de 16 años;17
Ambos sexos;37015-Aldea del Obispo;Total;De 16 a 64 años;132
Ambos sexos;37015-Aldea del Obispo;Total;De 65 y más años;117
Ambos sexos;37015-Aldea del Obispo;españoles;Total;215
Ambos sexos;37015-Aldea del Obispo;españoles;Menores de 16 años;14
Ambos sexos;37015-Aldea del Obispo;españoles;De 16 a 64 años;93
Ambos sexos;37015-Aldea del Obispo;españoles;De 65 y más años;108
Ambos sexos;37015-Aldea del Obispo;extranjeros;Total;51
Ambos sexos;37015-Aldea del Obispo;extranjeros;Menores de 16 años;3
Ambos sexos;37015-Aldea del Obispo;extranjeros;De 16 a 64 años;39
Ambos sexos;37015-Aldea del Obispo;extranjeros;De 65 y más años;9
Ambos sexos;37013-Aldeacipreste;Total;Total;116
Ambos sexos;37013-Aldeacipreste;Total;Menores de 16 años;4
Ambos sexos;37013-Aldeacipreste;Total;De 16 a 64 años;64
Ambos sexos;37013-Aldeacipreste;Total;De 65 y más años;48
Ambos sexos;37013-Aldeacipreste;españoles;Total;116
Ambos sexos;37013-Aldeacipreste;españoles;Menores de 16 años;4
Ambos sexos;37013-Aldeacipreste;españoles;De 16 a 64 años;64
Ambos sexos;37013-Aldeacipreste;españoles;De 65 y más años;48
Ambos sexos;37013-Aldeacipreste;extranjeros;Total;0
Ambos sexos;37013-Aldeacipreste;extranjeros;Menores de 16 años;0
Ambos sexos;37013-Aldeacipreste;extranjeros;De 16 a 64 años;0
Ambos sexos;37013-Aldeacipreste;extranjeros;De 65 y más años;0
Ambos sexos;37014-Aldeadávila de la Ribera;Total;Total;1.239
Ambos sexos;37014-Aldeadávila de la Ribera;Total;Menores de 16 años;72
Ambos sexos;37014-Aldeadávila de la Ribera;Total;De 16 a 64 años;663
Ambos sexos;37014-Aldeadávila de la Ribera;Total;De 65 y más años;504
Ambos sexos;37014-Aldeadávila de la Ribera;españoles;Total;1.226
Ambos sexos;37014-Aldeadávila de la Ribera;españoles;Menores de 16 años;71
Ambos sexos;37014-Aldeadávila de la Ribera;españoles;De 16 a 64 años;651
Ambos sexos;37014-Aldeadávila de la Ribera;españoles;De 65 y más años;504
Ambos sexos;37014-Aldeadávila de la Ribera;extranjeros;Total;13
Ambos sexos;37014-Aldeadávila de la Ribera;extranjeros;Menores de 16 años;1
Ambos sexos;37014-Aldeadávila de la Ribera;extranjeros;De 16 a 64 años;12
Ambos sexos;37014-Aldeadávila de la Ribera;extranjeros;De 65 y más años;0
Ambos sexos;37016-Aldealengua;Total;Total;696
Ambos sexos;37016-Aldealengua;Total;Menores de 16 años;84
Ambos sexos;37016-Aldealengua;Total;De 16 a 64 años;493
Ambos sexos;37016-Aldealengua;Total;De 65 y más años;119
Ambos sexos;37016-Aldealengua;españoles;Total;684
Ambos sexos;37016-Aldealengua;españoles;Menores de 16 años;83
Ambos sexos;37016-Aldealengua;españoles;De 16 a 64 años;483
Ambos sexos;37016-Aldealengua;españoles;De 65 y más años;118
Ambos sexos;37016-Aldealengua;extranjeros;Total;12
Ambos sexos;37016-Aldealengua;extranjeros;Menores de 16 años;1
Ambos sexos;37016-Aldealengua;extranjeros;De 16 a 64 años;10
Ambos sexos;37016-Aldealengua;extranjeros;De 65 y más años;1
Ambos sexos;37017-Aldeanueva de Figueroa;Total;Total;256
Ambos sexos;37017-Aldeanueva de Figueroa;Total;Menores de 16 años;13
Ambos sexos;37017-Aldeanueva de Figueroa;Total;De 16 a 64 años;151
Ambos sexos;37017-Aldeanueva de Figueroa;Total;De 65 y más años;92
Ambos sexos;37017-Aldeanueva de Figueroa;españoles;Total;234
Ambos sexos;37017-Aldeanueva de Figueroa;españoles;Menores de 16 años;10
Ambos sexos;37017-Aldeanueva de Figueroa;españoles;De 16 a 64 años;133
Ambos sexos;37017-Aldeanueva de Figueroa;españoles;De 65 y más años;91
Ambos sexos;37017-Aldeanueva de Figueroa;extranjeros;Total;22
Ambos sexos;37017-Aldeanueva de Figueroa;extranjeros;Menores de 16 años;3
Ambos sexos;37017-Aldeanueva de Figueroa;extranjeros;De 16 a 64 años;18
Ambos sexos;37017-Aldeanueva de Figueroa;extranjeros;De 65 y más años;1
Ambos sexos;37018-Aldeanueva de la Sierra;Total;Total;113
Ambos sexos;37018-Aldeanueva de la Sierra;Total;Menores de 16 años;2
Ambos sexos;37018-Aldeanueva de la Sierra;Total;De 16 a 64 años;67
Ambos sexos;37018-Aldeanueva de la Sierra;Total;De 65 y más años;44
Ambos sexos;37018-Aldeanueva de la Sierra;españoles;Total;112
Ambos sexos;37018-Aldeanueva de la Sierra;españoles;Menores de 16 años;2
Ambos sexos;37018-Aldeanueva de la Sierra;españoles;De 16 a 64 años;66
Ambos sexos;37018-Aldeanueva de la Sierra;españoles;De 65 y más años;44
Ambos sexos;37018-Aldeanueva de la Sierra;extranjeros;Total;1
Ambos sexos;37018-Aldeanueva de la Sierra;extranjeros;Menores de 16 años;0
Ambos sexos;37018-Aldeanueva de la Sierra;extranjeros;De 16 a 64 años;1
Ambos sexos;37018-Aldeanueva de la Sierra;extranjeros;De 65 y más años;0
Ambos sexos;37019-Aldearrodrigo;Total;Total;141
Ambos sexos;37019-Aldearrodrigo;Total;Menores de 16 años;3
Ambos sexos;37019-Aldearrodrigo;Total;De 16 a 64 años;79
Ambos sexos;37019-Aldearrodrigo;Total;De 65 y más años;59
Ambos sexos;37019-Aldearrodrigo;españoles;Total;141
Ambos sexos;37019-Aldearrodrigo;españoles;Menores de 16 años;3
Ambos sexos;37019-Aldearrodrigo;españoles;De 16 a 64 años;79
Ambos sexos;37019-Aldearrodrigo;españoles;De 65 y más años;59
Ambos sexos;37019-Aldearrodrigo;extranjeros;Total;0
Ambos sexos;37019-Aldearrodrigo;extranjeros;Menores de 16 años;0
Ambos sexos;37019-Aldearrodrigo;extranjeros;De 16 a 64 años;0
Ambos sexos;37019-Aldearrodrigo;extranjeros;De 65 y más años;0
Ambos sexos;37020-Aldearrubia;Total;Total;486
Ambos sexos;37020-Aldearrubia;Total;Menores de 16 años;41
Ambos sexos;37020-Aldearrubia;Total;De 16 a 64 años;325
Ambos sexos;37020-Aldearrubia;Total;De 65 y más años;120
Ambos sexos;37020-Aldearrubia;españoles;Total;477
Ambos sexos;37020-Aldearrubia;españoles;Menores de 16 años;41
Ambos sexos;37020-Aldearrubia;españoles;De 16 a 64 años;316
Ambos sexos;37020-Aldearrubia;españoles;De 65 y más años;120
Ambos sexos;37020-Aldearrubia;extranjeros;Total;9
Ambos sexos;37020-Aldearrubia;extranjeros;Menores de 16 años;0
Ambos sexos;37020-Aldearrubia;extranjeros;De 16 a 64 años;9
Ambos sexos;37020-Aldearrubia;extranjeros;De 65 y más años;0
Ambos sexos;37021-Aldeaseca de Alba;Total;Total;74
Ambos sexos;37021-Aldeaseca de Alba;Total;Menores de 16 años;3
Ambos sexos;37021-Aldeaseca de Alba;Total;De 16 a 64 años;33
Ambos sexos;37021-Aldeaseca de Alba;Total;De 65 y más años;38
Ambos sexos;37021-Aldeaseca de Alba;españoles;Total;74
Ambos sexos;37021-Aldeaseca de Alba;españoles;Menores de 16 años;3
Ambos sexos;37021-Aldeaseca de Alba;españoles;De 16 a 64 años;33
Ambos sexos;37021-Aldeaseca de Alba;españoles;De 65 y más años;38
Ambos sexos;37021-Aldeaseca de Alba;extranjeros;Total;0
Ambos sexos;37021-Aldeaseca de Alba;extranjeros;Menores de 16 años;0
Ambos sexos;37021-Aldeaseca de Alba;extranjeros;De 16 a 64 años;0
Ambos sexos;37021-Aldeaseca de Alba;extranjeros;De 65 y más años;0
Ambos sexos;37022-Aldeaseca de la Frontera;Total;Total;269
Ambos sexos;37022-Aldeaseca de la Frontera;Total;Menores de 16 años;8
Ambos sexos;37022-Aldeaseca de la Frontera;Total;De 16 a 64 años;166
Ambos sexos;37022-Aldeaseca de la Frontera;Total;De 65 y más años;95
Ambos sexos;37022-Aldeaseca de la Frontera;españoles;Total;267
Ambos sexos;37022-Aldeaseca de la Frontera;españoles;Menores de 16 años;8
Ambos sexos;37022-Aldeaseca de la Frontera;españoles;De 16 a 64 años;164
Ambos sexos;37022-Aldeaseca de la Frontera;españoles;De 65 y más años;95
Ambos sexos;37022-Aldeaseca de la Frontera;extranjeros;Total;2
Ambos sexos;37022-Aldeaseca de la Frontera;extranjeros;Menores de 16 años;0
Ambos sexos;37022-Aldeaseca de la Frontera;extranjeros;De 16 a 64 años;2
Ambos sexos;37022-Aldeaseca de la Frontera;extranjeros;De 65 y más años;0
Ambos sexos;37023-Aldeatejada;Total;Total;1.989
Ambos sexos;37023-Aldeatejada;Total;Menores de 16 años;404
Ambos sexos;37023-Aldeatejada;Total;De 16 a 64 años;1.409
Ambos sexos;37023-Aldeatejada;Total;De 65 y más años;176
Ambos sexos;37023-Aldeatejada;españoles;Total;1.959
Ambos sexos;37023-Aldeatejada;españoles;Menores de 16 años;402
Ambos sexos;37023-Aldeatejada;españoles;De 16 a 64 años;1.382
Ambos sexos;37023-Aldeatejada;españoles;De 65 y más años;175
Ambos sexos;37023-Aldeatejada;extranjeros;Total;30
Ambos sexos;37023-Aldeatejada;extranjeros;Menores de 16 años;2
Ambos sexos;37023-Aldeatejada;extranjeros;De 16 a 64 años;27
Ambos sexos;37023-Aldeatejada;extranjeros;De 65 y más años;1
Ambos sexos;37024-Aldeavieja de Tormes;Total;Total;102
Ambos sexos;37024-Aldeavieja de Tormes;Total;Menores de 16 años;15
Ambos sexos;37024-Aldeavieja de Tormes;Total;De 16 a 64 años;59
Ambos sexos;37024-Aldeavieja de Tormes;Total;De 65 y más años;28
Ambos sexos;37024-Aldeavieja de Tormes;españoles;Total;100
Ambos sexos;37024-Aldeavieja de Tormes;españoles;Menores de 16 años;15
Ambos sexos;37024-Aldeavieja de Tormes;españoles;De 16 a 64 años;57
Ambos sexos;37024-Aldeavieja de Tormes;españoles;De 65 y más años;28
Ambos sexos;37024-Aldeavieja de Tormes;extranjeros;Total;2
Ambos sexos;37024-Aldeavieja de Tormes;extranjeros;Menores de 16 años;0
Ambos sexos;37024-Aldeavieja de Tormes;extranjeros;De 16 a 64 años;2
Ambos sexos;37024-Aldeavieja de Tormes;extranjeros;De 65 y más años;0
Ambos sexos;37025-Aldehuela de la Bóveda;Total;Total;290
Ambos sexos;37025-Aldehuela de la Bóveda;Total;Menores de 16 años;27
Ambos sexos;37025-Aldehuela de la Bóveda;Total;De 16 a 64 años;179
Ambos sexos;37025-Aldehuela de la Bóveda;Total;De 65 y más años;84
Ambos sexos;37025-Aldehuela de la Bóveda;españoles;Total;288
Ambos sexos;37025-Aldehuela de la Bóveda;españoles;Menores de 16 años;27
Ambos sexos;37025-Aldehuela de la Bóveda;españoles;De 16 a 64 años;177
Ambos sexos;37025-Aldehuela de la Bóveda;españoles;De 65 y más años;84
Ambos sexos;37025-Aldehuela de la Bóveda;extranjeros;Total;2
Ambos sexos;37025-Aldehuela de la Bóveda;extranjeros;Menores de 16 años;0
Ambos sexos;37025-Aldehuela de la Bóveda;extranjeros;De 16 a 64 años;2
Ambos sexos;37025-Aldehuela de la Bóveda;extranjeros;De 65 y más años;0
Ambos sexos;37026-Aldehuela de Yeltes;Total;Total;195
Ambos sexos;37026-Aldehuela de Yeltes;Total;Menores de 16 años;9
Ambos sexos;37026-Aldehuela de Yeltes;Total;De 16 a 64 años;97
Ambos sexos;37026-Aldehuela de Yeltes;Total;De 65 y más años;89
Ambos sexos;37026-Aldehuela de Yeltes;españoles;Total;187
Ambos sexos;37026-Aldehuela de Yeltes;españoles;Menores de 16 años;8
Ambos sexos;37026-Aldehuela de Yeltes;españoles;De 16 a 64 años;90
Ambos sexos;37026-Aldehuela de Yeltes;españoles;De 65 y más años;89
Ambos sexos;37026-Aldehuela de Yeltes;extranjeros;Total;8
Ambos sexos;37026-Aldehuela de Yeltes;extranjeros;Menores de 16 años;1
Ambos sexos;37026-Aldehuela de Yeltes;extranjeros;De 16 a 64 años;7
Ambos sexos;37026-Aldehuela de Yeltes;extranjeros;De 65 y más años;0
Ambos sexos;37027-Almenara de Tormes;Total;Total;254
Ambos sexos;37027-Almenara de Tormes;Total;Menores de 16 años;22
Ambos sexos;37027-Almenara de Tormes;Total;De 16 a 64 años;178
Ambos sexos;37027-Almenara de Tormes;Total;De 65 y más años;54
Ambos sexos;37027-Almenara de Tormes;españoles;Total;246
Ambos sexos;37027-Almenara de Tormes;españoles;Menores de 16 años;22
Ambos sexos;37027-Almenara de Tormes;españoles;De 16 a 64 años;170
Ambos sexos;37027-Almenara de Tormes;españoles;De 65 y más años;54
Ambos sexos;37027-Almenara de Tormes;extranjeros;Total;8
Ambos sexos;37027-Almenara de Tormes;extranjeros;Menores de 16 años;0
Ambos sexos;37027-Almenara de Tormes;extranjeros;De 16 a 64 años;8
Ambos sexos;37027-Almenara de Tormes;extranjeros;De 65 y más años;0
Ambos sexos;37028-Almendra;Total;Total;157
Ambos sexos;37028-Almendra;Total;Menores de 16 años;7
Ambos sexos;37028-Almendra;Total;De 16 a 64 años;72
Ambos sexos;37028-Almendra;Total;De 65 y más años;78
Ambos sexos;37028-Almendra;españoles;Total;155
Ambos sexos;37028-Almendra;españoles;Menores de 16 años;7
Ambos sexos;37028-Almendra;españoles;De 16 a 64 años;70
Ambos sexos;37028-Almendra;españoles;De 65 y más años;78
Ambos sexos;37028-Almendra;extranjeros;Total;2
Ambos sexos;37028-Almendra;extranjeros;Menores de 16 años;0
Ambos sexos;37028-Almendra;extranjeros;De 16 a 64 años;2
Ambos sexos;37028-Almendra;extranjeros;De 65 y más años;0
Ambos sexos;37029-Anaya de Alba;Total;Total;215
Ambos sexos;37029-Anaya de Alba;Total;Menores de 16 años;10
Ambos sexos;37029-Anaya de Alba;Total;De 16 a 64 años;116
Ambos sexos;37029-Anaya de Alba;Total;De 65 y más años;89
Ambos sexos;37029-Anaya de Alba;españoles;Total;213
Ambos sexos;37029-Anaya de Alba;españoles;Menores de 16 años;10
Ambos sexos;37029-Anaya de Alba;españoles;De 16 a 64 años;114
Ambos sexos;37029-Anaya de Alba;españoles;De 65 y más años;89
Ambos sexos;37029-Anaya de Alba;extranjeros;Total;2
Ambos sexos;37029-Anaya de Alba;extranjeros;Menores de 16 años;0
Ambos sexos;37029-Anaya de Alba;extranjeros;De 16 a 64 años;2
Ambos sexos;37029-Anaya de Alba;extranjeros;De 65 y más años;0
Ambos sexos;37030-Añover de Tormes;Total;Total;93
Ambos sexos;37030-Añover de Tormes;Total;Menores de 16 años;6
Ambos sexos;37030-Añover de Tormes;Total;De 16 a 64 años;53
Ambos sexos;37030-Añover de Tormes;Total;De 65 y más años;34
Ambos sexos;37030-Añover de Tormes;españoles;Total;93
Ambos sexos;37030-Añover de Tormes;españoles;Menores de 16 años;6
Ambos sexos;37030-Añover de Tormes;españoles;De 16 a 64 años;53
Ambos sexos;37030-Añover de Tormes;españoles;De 65 y más años;34
Ambos sexos;37030-Añover de Tormes;extranjeros;Total;0
Ambos sexos;37030-Añover de Tormes;extranjeros;Menores de 16 años;0
Ambos sexos;37030-Añover de Tormes;extranjeros;De 16 a 64 años;0
Ambos sexos;37030-Añover de Tormes;extranjeros;De 65 y más años;0
Ambos sexos;37031-Arabayona de Mógica;Total;Total;372
Ambos sexos;37031-Arabayona de Mógica;Total;Menores de 16 años;19
Ambos sexos;37031-Arabayona de Mógica;Total;De 16 a 64 años;220
Ambos sexos;37031-Arabayona de Mógica;Total;De 65 y más años;133
Ambos sexos;37031-Arabayona de Mógica;españoles;Total;372
Ambos sexos;37031-Arabayona de Mógica;españoles;Menores de 16 años;19
Ambos sexos;37031-Arabayona de Mógica;españoles;De 16 a 64 años;220
Ambos sexos;37031-Arabayona de Mógica;españoles;De 65 y más años;133
Ambos sexos;37031-Arabayona de Mógica;extranjeros;Total;0
Ambos sexos;37031-Arabayona de Mógica;extranjeros;Menores de 16 años;0
Ambos sexos;37031-Arabayona de Mógica;extranjeros;De 16 a 64 años;0
Ambos sexos;37031-Arabayona de Mógica;extranjeros;De 65 y más años;0
Ambos sexos;37032-Arapiles;Total;Total;644
Ambos sexos;37032-Arapiles;Total;Menores de 16 años;81
Ambos sexos;37032-Arapiles;Total;De 16 a 64 años;439
Ambos sexos;37032-Arapiles;Total;De 65 y más años;124
Ambos sexos;37032-Arapiles;españoles;Total;631
Ambos sexos;37032-Arapiles;españoles;Menores de 16 años;81
Ambos sexos;37032-Arapiles;españoles;De 16 a 64 años;428
Ambos sexos;37032-Arapiles;españoles;De 65 y más años;122
Ambos sexos;37032-Arapiles;extranjeros;Total;13
Ambos sexos;37032-Arapiles;extranjeros;Menores de 16 años;0
Ambos sexos;37032-Arapiles;extranjeros;De 16 a 64 años;11
Ambos sexos;37032-Arapiles;extranjeros;De 65 y más años;2
Ambos sexos;37033-Arcediano;Total;Total;102
Ambos sexos;37033-Arcediano;Total;Menores de 16 años;5
Ambos sexos;37033-Arcediano;Total;De 16 a 64 años;73
Ambos sexos;37033-Arcediano;Total;De 65 y más años;24
Ambos sexos;37033-Arcediano;españoles;Total;98
Ambos sexos;37033-Arcediano;españoles;Menores de 16 años;5
Ambos sexos;37033-Arcediano;españoles;De 16 a 64 años;70
Ambos sexos;37033-Arcediano;españoles;De 65 y más años;23
Ambos sexos;37033-Arcediano;extranjeros;Total;4
